wgr_threshold,sustained_months,n_events,method,c_index,mae_events,median_error,max_error,skipped
2,6,12,Stacked,0.667,187.9,83.8,683.0,False
2,6,12,Simple Mean,0.704,163.6,76.2,651.2,False
2,6,12,Trimmed Mean,0.694,166.2,74.2,712.3,False
2,6,12,Median,0.662,184.3,68.5,934.6,False
2,6,12,Geometric Mean,0.694,123.4,62.8,449.8,False
2,6,12,Inv-MAE Weighted,0.694,136.3,72.9,483.3,False
2,6,12,Rank Fusion,0.694,143.1,146.2,387.0,False
3,1,12,Cox PH,0.619,256.2,79.5,1185.0,False
3,1,12,Weibull AFT,0.619,255.3,62.7,1185.0,False
3,1,12,XGB Cox,0.578,117.4,97.7,334.5,False
3,1,12,XGB AFT,0.495,97.0,55.7,285.9,False
3,1,12,sksurv GBSA,0.587,187.0,71.3,732.5,False
3,1,12,sksurv CWGB,0.56,239.4,188.9,909.3,False
3,1,12,Stacked,0.587,203.1,79.9,885.2,False
3,1,12,Simple Mean,0.615,176.8,64.8,733.8,False
3,1,12,Trimmed Mean,0.606,178.2,62.5,768.7,False
3,1,12,Median,0.578,195.6,58.5,885.2,False
3,1,12,Geometric Mean,0.624,136.7,60.7,539.8,False
3,1,12,Inv-MAE Weighted,0.633,150.1,67.8,574.7,False
3,1,12,Rank Fusion,0.596,176.8,170.1,547.0,False
3,2,12,Cox PH,0.722,228.4,90.0,1133.0,False
3,2,12,Weibull AFT,0.69,233.2,59.5,1133.0,False
3,2,12,XGB Cox,0.616,127.7,117.9,324.9,False
3,2,12,XGB AFT,0.565,102.6,74.3,264.4,False
3,2,12,sksurv GBSA,0.667,215.2,99.5,1133.0,False
3,2,12,sksurv CWGB,0.63,188.5,122.5,950.3,False
3,2,12,Stacked,0.676,192.0,54.7,789.5,False
3,2,12,Simple Mean,0.694,161.9,61.3,761.4,False
3,2,12,Trimmed Mean,0.667,167.0,52.5,823.0,False
3,2,12,Median,0.681,187.6,55.8,950.3,False
3,2,12,Geometric Mean,0.704,124.1,55.8,563.1,False
3,2,12,Inv-MAE Weighted,0.704,140.1,65.1,625.2,False
3,2,12,Rank Fusion,0.704,148.5,151.7,495.0,False
3,3,12,Cox PH,0.748,218.4,91.0,980.0,False
3,3,12,Weibull AFT,0.724,218.7,63.9,980.0,False
3,3,12,XGB Cox,0.664,118.2,94.8,306.5,False
3,3,12,XGB AFT,0.617,98.3,70.0,262.4,False
3,3,12,sksurv GBSA,0.729,202.6,90.9,980.0,False
3,3,12,sksurv CWGB,0.72,165.3,97.3,797.3,False
3,3,12,Stacked,0.692,181.4,94.1,680.5,False
3,3,12,Simple Mean,0.738,144.9,80.7,608.4,False
3,3,12,Trimmed Mean,0.729,152.9,75.1,670.0,False
3,3,12,Median,0.696,175.1,68.9,797.3,False
3,3,12,Geometric Mean,0.729,109.2,61.7,410.1,False
3,3,12,Inv-MAE Weighted,0.748,124.0,69.9,475.1,False
3,3,12,Rank Fusion,0.738,123.8,114.1,342.0,False
3,4,12,Cox PH,0.79,210.3,104.5,900.0,False
3,4,12,Weibull AFT,0.762,209.0,64.6,900.0,False
3,4,12,XGB Cox,0.743,126.1,132.8,311.5,False
3,4,12,XGB AFT,0.692,106.4,99.1,257.8,False
3,4,12,sksurv GBSA,0.822,202.0,123.2,874.0,False
3,4,12,sksurv CWGB,0.776,139.4,84.4,706.9,False
3,4,12,Stacked,0.738,163.7,95.7,632.1,False
3,4,12,Simple Mean,0.794,128.0,78.3,506.4,False
3,4,12,Trimmed Mean,0.794,134.0,75.1,569.5,False
3,4,12,Median,0.757,158.4,76.6,706.9,False
3,4,12,Geometric Mean,0.794,92.8,51.1,307.9,False
3,4,12,Inv-MAE Weighted,0.794,111.2,67.5,403.5,False
3,4,12,Rank Fusion,0.785,115.0,112.3,236.0,False
3,6,12,Cox PH,0.785,214.6,100.0,900.0,False
3,6,12,Weibull AFT,0.734,211.1,71.4,900.0,False
3,6,12,XGB Cox,0.715,129.3,131.3,318.7,False
3,6,12,XGB AFT,0.72,105.6,90.1,258.2,False
3,6,12,sksurv GBSA,0.785,203.8,113.0,874.0,False
3,6,12,sksurv CWGB,0.738,157.5,106.0,774.4,False
3,6,12,Stacked,0.72,161.2,99.9,604.2,False
3,6,12,Simple Mean,0.794,127.7,79.5,512.3,False
3,6,12,Trimmed Mean,0.776,134.4,74.3,578.0,False
3,6,12,Median,0.72,173.3,77.6,774.4,False
3,6,12,Geometric Mean,0.785,95.6,51.1,311.7,False
3,6,12,Inv-MAE Weighted,0.794,110.3,66.8,403.9,False
3,6,12,Rank Fusion,0.757,118.4,130.3,236.0,False
4,1,12,Cox PH,0.785,199.2,60.5,897.0,False
4,1,12,Weibull AFT,0.762,208.6,77.5,897.0,False
4,1,12,XGB Cox,0.734,131.1,140.1,312.5,False
4,1,12,XGB AFT,0.654,111.0,100.9,271.5,False
4,1,12,sksurv GBSA,0.813,202.1,112.9,868.0,False
4,1,12,sksurv CWGB,0.776,130.4,89.8,669.6,False
4,1,12,Stacked,0.71,158.7,89.1,634.4,False
4,1,12,Simple Mean,0.794,126.0,71.6,499.5,False
4,1,12,Trimmed Mean,0.794,130.1,65.1,562.6,False
4,1,12,Median,0.757,155.8,77.4,669.6,False
4,1,12,Geometric Mean,0.794,91.9,48.5,299.8,False
4,1,12,Inv-MAE Weighted,0.794,111.6,65.1,411.0,False
4,1,12,Rank Fusion,0.785,112.3,116.2,230.0,False
4,2,12,Cox PH,0.804,192.8,60.0,897.0,False
4,2,12,Weibull AFT,0.771,204.1,65.3,897.0,False
4,2,12,XGB Cox,0.752,133.2,140.2,312.5,False
4,2,12,XGB AFT,0.682,111.9,102.9,257.2,False
4,2,12,sksurv GBSA,0.841,185.8,95.8,828.1,False
4,2,12,sksurv CWGB,0.766,125.9,86.5,665.0,False
4,2,12,Stacked,0.757,159.4,79.0,692.4,False
4,2,12,Simple Mean,0.813,124.4,55.8,502.2,False
4,2,12,Trimmed Mean,0.804,128.1,50.6,566.6,False
4,2,12,Median,0.762,149.7,65.2,665.0,False
4,2,12,Geometric Mean,0.813,90.8,49.4,302.1,False
4,2,12,Inv-MAE Weighted,0.813,111.6,49.9,425.0,False
4,2,12,Rank Fusion,0.804,111.1,103.5,230.0,False
4,3,12,Cox PH,0.79,213.8,80.5,897.0,False
4,3,12,Weibull AFT,0.743,213.2,82.8,897.0,False
4,3,12,XGB Cox,0.724,139.6,137.0,319.6,False
4,3,12,XGB AFT,0.664,106.4,105.2,257.4,False
4,3,12,sksurv GBSA,0.832,174.4,64.4,868.0,False
4,3,12,sksurv CWGB,0.766,138.7,83.0,720.1,False
4,3,12,Stacked,0.71,168.9,95.7,654.1,False
4,3,12,Simple Mean,0.804,129.7,70.6,508.0,False
4,3,12,Trimmed Mean,0.794,133.7,71.1,574.8,False
4,3,12,Median,0.738,157.6,82.8,720.1,False
4,3,12,Geometric Mean,0.794,97.4,61.6,305.8,False
4,3,12,Inv-MAE Weighted,0.813,113.5,61.4,420.5,False
4,3,12,Rank Fusion,0.785,111.2,119.5,230.0,False
4,4,12,Cox PH,0.785,206.2,56.0,897.0,False
4,4,12,Weibull AFT,0.734,213.6,81.5,897.0,False
4,4,12,XGB Cox,0.668,144.2,123.0,309.9,False
4,4,12,XGB AFT,0.57,109.6,131.1,254.4,False
4,4,12,sksurv GBSA,0.822,195.3,82.3,868.0,False
