date,well,pressure,choke_size,prod_days,gas_produced,water_produced,porosity,permeability_md,skin,sw,net_pay_m,chlorides_ppm,top_perf_md,bottom_perf_md,perf_midpoint_md,bhp,gas_gravity
2005-03-01,75,758.1,,,191.835,170.714,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-04-01,75,749.6,,,179.523,131.548,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-05-01,75,759.1,,,183.496,151.857,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-06-01,75,710.1,,,205.357,164.19,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-07-01,75,705.7,,,215.953,240.333,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-08-01,75,700.5,,,216.125,210.452,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-09-01,75,699.7,,,207.0,247.476,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-10-01,75,692.7,,,216.213,273.762,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-11-01,75,692.2,,,200.193,259.69,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2005-12-01,75,688.7,,,211.832,277.095,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-01-01,75,666.6,,,216.652,266.071,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,955.0,0.74
2006-02-01,75,672.7,,,195.375,226.19,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-03-01,75,672.6,,,217.846,358.929,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-04-01,75,665.5,,,211.653,499.19,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-05-01,75,670.7,,,214.374,440.381,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-06-01,75,669.7,,,206.482,232.714,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-07-01,75,664.8,,,211.062,243.929,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-08-01,75,662.2,,,210.214,217.762,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-09-01,75,662.3,,,203.598,199.119,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2006-10-01,75,658.4,,,202.291,333.452,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
