subset,n_models,strategy,c_index,mae_events,median_error,max_error
Cox+XGBc+XGBa+GBSA+CWGB+Stk,6,Geometric Mean,0.792,83.6,67.0,178.3
Cox+XGBc+XGBa+GBSA+CWGB+Stk,6,Inv-MAE Weighted,0.811,93.0,66.7,343.6
Cox+XGBc+XGBa+GBSA+CWGB+Stk,6,Rank Fusion,0.802,78.6,63.8,209.1
Weib+XGBc+XGBa+GBSA+CWGB+Stk,6,Simple Mean,0.802,107.8,82.0,372.8
Weib+XGBc+XGBa+GBSA+CWGB+Stk,6,Trimmed Mean,0.802,96.8,63.3,426.6
Weib+XGBc+XGBa+GBSA+CWGB+Stk,6,Median,0.802,107.5,62.1,566.0
Weib+XGBc+XGBa+GBSA+CWGB+Stk,6,Geometric Mean,0.783,80.4,53.3,181.9
Weib+XGBc+XGBa+GBSA+CWGB+Stk,6,Inv-MAE Weighted,0.811,95.6,70.9,317.9
Weib+XGBc+XGBa+GBSA+CWGB+Stk,6,Rank Fusion,0.802,78.6,63.8,209.1
Cox+Weib+XGBc+XGBa+GBSA+CWGB+Stk,7,Simple Mean,0.792,111.2,83.2,432.5
Cox+Weib+XGBc+XGBa+GBSA+CWGB+Stk,7,Trimmed Mean,0.802,103.3,57.8,499.5
Cox+Weib+XGBc+XGBa+GBSA+CWGB+Stk,7,Median,0.802,125.1,68.8,721.9
Cox+Weib+XGBc+XGBa+GBSA+CWGB+Stk,7,Geometric Mean,0.783,83.5,62.0,234.4
Cox+Weib+XGBc+XGBa+GBSA+CWGB+Stk,7,Inv-MAE Weighted,0.802,101.0,72.7,388.4
Cox+Weib+XGBc+XGBa+GBSA+CWGB+Stk,7,Rank Fusion,0.792,81.5,63.8,209.1
